TBM,,,32.502,TAG RT FT JN19027
10493,5055.377,4881.274,28.544,1.103
10494,5055.697,4892.943,28.917,1.103
10495,5058.559,4893.013,28.909,1.103E
10496,5058.763,4893.108,28.914,159 X 103 0.85
10497,5058.801,4893.811,30.447,156
10498,5058.814,4893.786,30.444,1.103
10499,5052.789,4893.779,30.544,1.103
10500,5052.927,4895.599,30.356,1.103E
10501,5052.862,4895.559,30.364,156
10502,5060.606,4899.255,43.829,159
10503,5060.603,4899.250,43.829,1.103
10504,5060.558,4897.065,43.610,1.103
10505,5052.999,4897.157,43.829,1.103
10506,5054.945,4899.792,44.145,175 36 CLUSTER
10507,5052.972,4902.680,43.962,1.103
10508,5059.361,4902.452,43.742,1.103E
10509,5053.539,4903.136,44.508,TW
10510,5052.989,4905.164,39.288,TW
1,2116962.508,6114514.278,38.453,TR point
2,2117411.466,6114279.630,32.502,TR point
3,2116915.029,6114413.080,40.500,TR point
100,2117411.468,6114279.629,32.489,Fd mon
101,2117194.081,6114386.149,35.443,Fd mon
102,2117132.154,6114419.361,36.336,Fd mon
103,2117070.433,6114452.387,37.141,Fd mon
104,2117008.752,6114485.481,37.978,Fd mon
105,2116946.864,6114518.132,38.988,Fd mon
106,2116885.977,6114552.698,39.709,Fd mon
107,2116828.192,6114592.907,40.473,Fd mon
108,2116771.329,6114634.798,41.436,Fd mon
1103,2117070.437,6114452.384,37.135,156/TAG RT ADJ
1104,2117008.757,6114485.479,37.974,156/TAG RT FT
TBM2,,,39.980,156
TBM3,,,38.980,156
TR200,2116995.532,6114512.037,38.183,156/MONITOR MAG
1105,2116946.850,6114518.137,38.984,156/TAG LT FT
1106,2116885.974,6114552.701,39.706,156/TAG LT ADJ
TR201,2116892.520,6114565.236,39.591,156/MAG LT SD #39
TR202,2116946.260,6114534.206,38.928,156/CL MAG LT
TR203,2117039.648,6114484.099,37.621,156/CL MAG RT
MP1,2116934.772,6114496.233,45.761,MP
MP2,2116916.303,6114462.804,45.801,MP
MP3,2116893.423,6114421.501,43.604,MP
MP4,2116964.027,6114404.993,44.526,MP
MP5,2116981.317,6114435.915,44.770,MP
MP6,2116996.479,6114463.675,44.785,MP
TR42722,2116929.447,6114407.658,40.237,156/H&T RR
41010,2117000.019,6114470.635,42.343,4101-4151
42080,2116996.315,6114463.523,41.788,4208-4258
42070,2116992.367,6114456.298,42.086,4207-4257
42060,2116987.460,6114447.325,42.063,4206-4256
42050,2116982.538,6114438.350,42.123,4205-4255
42040,2116977.610,6114429.376,42.167,4204-4254
42030,2116972.667,6114420.416,42.204,4203-4253
42020,2116967.717,6114411.471,42.408,4202-4252
42010,2116962.526,6114402.642,42.729,4201-4251
43020,2116962.773,6114403.076,42.381,4302-4301
43010,2116901.861,6114436.566,42.697,4301-4302
42150,2116903.489,6114439.554,42.898,4215-4265
42140,2116907.334,6114446.565,43.001,4214-4264
42130,2116911.180,6114453.582,43.067,4213-4263
42120,2116915.040,6114460.588,43.109,4212-4262
42110,2116918.916,6114467.589,43.467,4211-4261
42100,2116922.771,6114474.591,43.241,4210-4260
42090,2116926.663,6114481.578,43.011,4209-4259
41020,2116930.038,6114487.741,42.901,4102-4152
41030,2116933.946,6114494.736,42.740,4103-4153
43030,2116997.158,6114466.338,41.931,4303-4304
43040,2116937.700,6114499.017,42.356,4304-4303
41040,2116937.974,6114501.653,39.587,4104-4154
TR427220,2116941.498,6114367.389,29.813,156/X RT RR
42200,2116884.452,6114404.343,29.781,4220-4270
42190,2116888.378,6114411.346,36.638,4219-4269
42180,2116892.217,6114418.356,39.749,4218-4268
42170,2116896.097,6114425.345,42.298,4217-4267
42160,2116899.934,6114432.378,42.073,4216-4266
3000,2117008.270,6114484.605,0.000,BD point
3001,2116946.579,6114517.692,0.000,BD point
3002,2116876.965,6114390.936,0.000,BD point
3003,2116881.961,6114388.394,0.000,BD point
3004,2116880.601,6114385.720,0.000,BD point
3005,2116937.883,6114356.572,0.000,BD point
3006,2117008.752,6114485.481,0.000,BD point
3007,2116946.820,6114518.131,0.000,BD point
3008,2116924.060,6114546.224,0.000,BD point
3009,2116855.583,6114589.482,0.000,BD point
3010,2116728.434,6114683.070,0.000,BD point
3011,2116719.839,6114671.392,0.000,BD point
3012,2116771.289,6114634.753,0.000,BD point
3013,2116770.808,6114633.876,0.000,BD point
3014,2116695.840,6114497.479,0.000,BD point
3015,2116754.647,6114459.175,0.000,BD point
3016,2116827.677,6114592.017,0.000,BD point
3017,2116828.159,6114592.894,0.000,BD point
3018,2116885.925,6114552.665,0.000,BD point
3019,2116885.443,6114551.788,0.000,BD point
3020,2116814.064,6114421.952,0.000,BD point
3021,2116870.358,6114390.948,0.000,BD point
3022,2116871.719,6114393.622,0.000,BD point
3023,2117000.304,6114324.813,0.000,BD point
3024,2117069.960,6114451.518,0.000,BD point
3025,2117070.442,6114452.394,0.000,BD point
3026,2117132.133,6114419.306,0.000,BD point
3027,2117131.651,6114418.430,0.000,BD point
3028,2117062.737,6114293.049,0.000,BD point
3029,2117120.033,6114263.896,0.000,BD point
3030,2117121.393,6114266.570,0.000,BD point
3031,2117126.833,6114263.803,0.000,BD point
3032,2117131.643,6114261.355,0.000,BD point
3033,2117130.283,6114258.681,0.000,BD point
3034,2117193.580,6114385.215,0.000,BD point
3035,2117194.062,6114386.091,0.000,BD point
3036,2117170.042,6114193.897,0.000,BD point
3037,2116857.571,6114352.883,0.000,BD point
3038,2116746.804,6114416.893,0.000,BD point
3039,2116577.438,6114527.210,0.000,BD point
3040,2116739.105,6114697.566,0.000,BD point
3041,2116866.253,6114603.978,0.000,BD point
3042,2116932.568,6114562.087,0.000,BD point
4101,2116998.369,6114471.542,39.333,AA T series caisson
4102,2116932.432,6114486.436,0.000,AA T series caisson
4103,2116936.286,6114493.447,0.000,AA T series caisson
4104,2116940.140,6114500.457,0.000,AA T series caisson
4151,2117000.458,6114470.395,0.000,AA T series prod to PL
4152,2116930.113,6114487.710,0.000,AA T series prod to PL
4153,2116933.964,6114494.722,0.000,AA T series prod to PL
4154,2116937.815,6114501.734,0.000,AA T series prod to PL
4201,2116961.638,6114403.128,0.000,AA S series caisson
4202,2116966.567,6114412.094,0.000,AA S series caisson
4203,2116971.496,6114421.060,0.000,AA S series caisson
4204,2116976.425,6114430.027,0.000,AA S series caisson
4205,2116981.354,6114438.993,0.000,AA S series caisson
4206,2116986.283,6114447.959,0.000,AA S series caisson
4207,2116990.998,6114457.045,39.333,AA S series caisson
4208,2116994.857,6114464.332,39.333,AA S series caisson
4209,2116928.375,6114480.640,0.000,AA S series caisson
4210,2116924.521,6114473.630,0.000,AA S series caisson
4211,2116920.667,6114466.619,0.000,AA S series caisson
4212,2116916.813,6114459.609,0.000,AA S series caisson
4213,2116912.959,6114452.598,0.000,AA S series caisson
4214,2116909.105,6114445.588,0.000,AA S series caisson
